timestamp,Face
12,0.99@659.6:112.4:405.4:601.9
12.042,1@640:108.5:429.9:620.9
12.083,1@646.8:116.8:419.8:602.5
12.125,1@651.2:118.3:406.3:595.3
12.167,1@669.2:125.8:384.7:573.1
12.208,0.99@658:111.2:414.5:606.3
12.25,0.99@652.1:100:422:618.3
12.292,0.97@653.6:89.4:426.6:617.9
12.333,0.99@639:92.6:451:624.9
12.375,1@627.7:93.4:459.5:645.3
12.417,1@634.3:99.3:456.9:647.5
12.458,0.99@652.8:109.4:435.4:629.1
12.5,0.98@667.5:107.6:422.3:646.2
12.542,0.98@674.3:125.7:416.5:607.5
12.583,1@671.9:125.2:426.8:626.2
12.625,1@672:129.3:431.9:608.8
12.667,1@666:133.5:447.6:612.9
12.708,1@678.6:133.7:426.1:608.6
12.75,1@676.3:144.5:424.4:599.5
12.792,1@673.2:150.5:429.2:583.5
12.833,1@663:153:441.1:589
12.875,1@671.3:156.1:437.6:592.6
12.917,1@659:146.1:464.8:608.6
12.958,1@658.7:149.3:461.8:600.8
13,1@667.6:149.4:461.1:598.8
13.042,1@673.2:149.7:457:601.8
13.083,1@669:150:462.4:600.7
13.125,1@675.9:150:457.6:597.9
13.167,1@681.3:148:457.6:609.8
13.208,0.99@695:150.8:441:610
13.25,1@687.7:146.9:460:622.9
13.292,1@691.3:140.7:453.1:627.3
13.333,1@699.5:141.2:443.6:620.8
13.375,1@703.9:142.2:445.5:620.7
13.417,1@700.5:143.2:448.3:621.3
13.458,1@690.6:145.8:448.3:607.1
13.5,1@689.9:148.7:443.3:609.9
13.542,0.99@701.7:156:435.4:597.3
13.583,0.99@699.2:148.5:437.2:604.4
13.625,0.99@681.8:150.4:453.3:599.5
13.667,0.99@691.9:153.1:441.5:598.1
13.708,1@688.2:155.3:441.6:594.4
13.75,0.99@692.9:149.7:443.4:602.5
13.792,0.99@714.2:155.4:419.4:600.7
13.833,0.99@695.4:141.8:439.9:611.7
13.875,1@680.3:139.4:452.2:612.6
13.917,0.99@693.2:145.2:447.2:610.2
13.958,0.97@702.7:148.6:436.9:602.8
14,0.97@714.9:145.2:429:600.2
14.042,0.99@893.7:181.3:593.8:464
14.083,0.98@896.9:185.7:593.1:462.7
14.125,0.96@901.8:185.3:590.5:464.1
14.167,0.95@904:184.1:592.6:464.5
14.208,0.94@904.1:184.5:586:464.1
14.25,0.96@905.2:182.2:590.7:465.6
14.292,0.98@893.6:180.6:587.3:468.3
14.333,0.99@916.3:183.9:574.8:467.6
14.375,0.98@919.7:185.2:566.7:465.3
14.417,0.95@933:186.9:552.2:464.2
14.458,0.87@940.5:193.9:540.7:459.1
14.5,0.94@940.1:193.8:563.4:458.3
14.542,0.98@927.9:190.7:566.1:465.4
14.583,0.97@934.2:191.4:550.2:462.1
14.625,0.98@932.2:189.2:559.8:462.6
14.667,0.96@930:193.2:553.1:456
14.708,0.85@943.2:194.1:557.8:455.2
14.75,0.82@966.7:188.2:540.2:463.7
14.792,
15.167,0.86@951.8:201.7:454.3:445.1
15.208,0.91@947.3:196.1:468.3:446.4
15.25,
15.375,0.94@921.6:188:507.4:446.8
15.417,0.96@894:174.4:541.6:462.2
15.458,0.95@911.2:193.3:535.5:454.2
15.5,0.93@913.1:187.1:552.6:451
15.542,0.84@904.5:196:567.6:444
15.583,
17.5,0.84@921.9:181:579.8:474.6
17.542,0.83@919:184.6:579.8:470.7
17.583,0.82@935.1:197.9:563.5:469.3
17.625,
17.75,0.87@920.3:194.3:567.4:450.8
17.792,
17.958,0.8@955.9:186.7:520.2:464.9
18,0.89@960.2:187:526.4:464.6
18.042,0.92@963.7:184.3:534.9:474.5
18.083,0.88@954.7:185.4:533.3:465
18.125,
18.417,0.96@719.2:174.7:727.6:666.5
18.458,1@777.2:165.6:648:665.1
18.5,0.99@820.3:178.7:560.3:615.2
18.542,1@766.8:184.3:651.2:621.8
18.583,0.97@789.8:168.3:621.3:640
18.625,0.98@776.1:163.9:644.7:644.6
18.667,0.9@818.9:197.8:528.5:506.3
18.708,0.84@785.2:208.8:567.3:509.5
18.75,
18.833,0.98@779.5:170:635:639.7
18.875,1@737.7:146.3:673:649.4
18.917,0.98@780.5:184.9:617:546.8
18.958,0.98@801.1:191:586.7:524.6
19,0.97@855.6:232.3:545.5:443.4
19.042,0.91@853.2:215.9:546.1:476.4
19.083,
19.333,0.85@823.5:221.5:617.6:451.6
19.375,0.92@825:210.1:584.6:457.8
19.417,
19.5,0.94@846.2:184.1:521.2:492.7
19.542,0.8@862.8:168.9:602.5:534.8
19.583,0.91@754.6:133.7:712.5:685.9
19.625,0.9@829.3:157.8:593.5:529.4
19.667,
19.708,0.84@834.1:190.8:510.7:535
19.75,0.91@830.7:209:471.7:502.7
19.792,0.86@824.3:187.2:519.3:548.1
19.833,0.88@806.2:228.3:474.3:506.5
19.875,0.89@821:213.5:495.7:556.4
19.917,0.83@837.1:234.5:507.1:522.5
19.958,
20,0.95@717.3:110.4:794.2:756
20.042,
20.208,0.89@789.8:185.1:630.9:630.9
20.25,
20.417,0.98@680.7:183.8:710.4:670.8
20.458,0.98@710.7:177.3:704:696.4
20.5,0.97@783.1:144.5:727.9:728.9
20.542,0.94@787.5:166.9:705.8:713.8
20.583,0.96@758:130.2:774.5:799.6
20.625,0.89@768:150.1:739.8:749.8
20.667,0.82@717.5:138.2:708.6:782.1
20.708,0.92@755.6:164:747.3:710.1
20.75,0.93@762.6:166.4:753.7:697.3
20.792,0.92@769.9:193.8:754.5:668.8
20.833,0.93@732.9:163.1:661.5:692
20.875,
20.917,0.94@816.3:176.9:700.7:661.8
20.958,0.95@790.8:212.7:588.9:587
21,1@511.4:40.9:702.5:700.2
21.042,1@526.5:34.8:685.2:720.8
21.083,1@516.9:33.6:706.9:733.6
21.125,1@516.7:27.9:721.3:735.7
21.167,1@530.1:34.6:714.9:722.2
21.208,1@538.3:41.1:711.7:709.8
21.25,1@536.8:41.9:705.6:709.5
21.292,1@521.7:33.1:727.4:715
21.333,1@519.5:21.8:756:727
21.375,0.99@534.1:35.9:724.1:691.9
21.417,0.99@535.4:26.3:731.6:703
21.458,1@540.2:51:723.8:696.6
21.5,0.99@551.9:50:721:697.1
21.542,0.99@539.3:54.7:734.6:714.9
21.583,1@541.5:42.4:733.5:722.5
21.625,1@538.9:61.9:735.1:697.3
21.667,0.99@542.7:55.6:732.8:696.5
21.708,0.99@542.8:51.3:743.8:717.6
21.75,0.99@542.3:27.8:751.9:740
21.792,0.99@547.9:33.4:739.4:738.7
21.833,1@540.7:26.5:731.2:723.6
21.875,0.98@533.3:20.2:749.4:740.3
21.917,0.98@523.7:21.2:750.7:716.2
21.958,0.99@531.2:11.3:735.1:729.7
22,1@524.4:11.7:724.6:720.8
22.042,1@525.4:25.6:729.5:719.9
22.083,1@541.2:15.8:712:723
22.125,1@527.4:17.4:721.6:749.7
22.167,1@507.1:23.4:755.9:762
22.208,1@519.4:33.4:748.2:746.2
22.25,1@524.8:27.4:750.1:717
22.292,1@520.7:21.7:737.8:751.2
22.333,1@510.2:17.4:760.5:768.6
22.375,1@509.4:13:766.4:773.1
22.417,0.98@554.7:43.6:704.9:749.4
22.458,1@529.2:31.2:743.7:759.6
22.5,1@506.6:26.8:752.2:758.3
22.542,1@528.7:21.6:720:737.6
22.583,1@525.7:23.3:740.4:766.9
22.625,1@511.6:28.4:765.3:770.3
22.667,0.99@503.9:25.4:758.8:786.7
22.708,0.99@505.8:24.7:755.8:793.6
22.75,0.99@513.5:29.8:726.6:785.1
22.792,0.99@507.1:32.6:717.5:781.9
22.833,0.99@508.2:25.4:714.9:794.9
22.875,0.99@504.4:32.5:733.9:767.2
22.917,0.99@505.6:5.1:763.8:816.4
22.958,1@491.1:-2.4:782.6:822.5
23,1@505.3:25.5:742.3:762
23.042,1@485.7:22.6:745.5:720.9
23.083,1@503:31.7:731.5:732.8
23.125,0.99@502.4:7.3:727.7:753.9
23.167,0.99@499.3:10.1:725.1:747.2
23.208,0.99@511.5:13:716.6:736.5
23.25,0.97@512.7:16.8:709.2:744.7
23.292,0.96@504.4:29.2:714.8:719.8
23.333,0.98@501.6:9.4:711.9:735
23.375,0.99@488.6:8.3:716.7:753
23.417,1@504.5:12.2:710.2:743.7
23.458,1@491.6:5.3:724:733.3
23.5,0.98@485.8:1.2:717.8:750.6
23.542,0.95@461.6:-28.6:720.6:749.4
23.583,0.88@467.5:-23.7:720.3:720.4
23.625,0.91@487.5:16.6:720.2:708.1
23.667,0.95@488.9:-3.7:723.8:731.6
23.708,0.91@500.3:-24.8:700.7:745.6
23.75,0.9@503.9:12.1:700.3:707.9
23.792,0.95@524.8:18.8:679.1:712.4
23.833,0.89@508.1:14.6:699.5:727.5
23.875,0.96@507.4:20.4:693.7:715.1
23.917,0.98@481.5:13.8:719:741
23.958,0.99@485.5:16.3:710.2:745.4
24,0.97@493.5:25.1:713.9:726.4
24.042,0.97@501.4:20.2:712.3:718.2
24.083,0.98@504.7:19.3:712:700.7
24.125,0.93@509.1:18.7:717.8:707.4
24.167,0.97@520:35.6:700.4:702.3
24.208,0.97@510.6:37.9:700.1:720.6
24.25,0.95@509:28.1:713.4:729
24.292,0.93@516.1:25.9:711:731.4
24.333,0.9@540.4:37.8:686.8:722.7
24.375,0.85@569.8:36.3:662.5:747.9
24.417,0.82@564.7:31:681.7:763
24.458,
24.5,0.84@556.2:48.1:675.8:731.3
24.542,0.87@564.2:41.1:665.8:759.3
24.583,
24.625,0.98@531.1:17.9:731.2:855.6
24.667,0.96@537.7:34.1:726:764.2
24.708,0.97@544.7:34.4:702.2:742.3
24.75,0.97@553.4:42:696.8:793.4
24.792,0.95@558.3:39.6:685.2:774.6
24.833,0.92@551.7:54.1:701.5:735.6
24.875,0.96@560.7:44.9:693:766.6
24.917,0.99@521:40.4:725.3:793.9
24.958,0.99@585:65.2:666.6:735
25,0.99@589.7:77.9:649.1:699.3
25.042,1@612.9:66.4:655:752.2
